GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lidalia Test,uk.org.lidalia.test,CombinableMatcher,0,56,0,2,0,15,0,7,0,6
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},0,9,0,0,0,2,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},0,36,0,2,0,4,0,3,0,2
Lidalia Test,uk.org.lidalia.test,AllOf,0,39,0,4,0,11,0,5,0,3
Lidalia Test,uk.org.lidalia.test,Assert.new TypeSafeDiagnosingMatcher() {...},0,37,0,2,0,7,0,4,0,3
Lidalia Test,uk.org.lidalia.test,StaticTimeRule,0,36,0,0,0,10,0,6,0,6
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},0,18,0,0,0,4,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},0,10,0,0,0,2,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},0,9,0,0,0,2,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},0,10,0,0,0,2,0,2,0,2
Lidalia Test,uk.org.lidalia.test,SystemOutputRule.DebriefableSystemOutputsStatement,0,50,0,0,0,14,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Assert.new FeatureMatcher() {...},17,30,0,0,2,7,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Values,0,187,0,52,0,34,0,37,0,11
Lidalia Test,uk.org.lidalia.test,ShouldThrow,17,42,4,2,3,12,4,4,1,4
Lidalia Test,uk.org.lidalia.test,Assert.2.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
Lidalia Test,uk.org.lidalia.test,Assert,0,116,0,0,0,11,0,10,0,10
Lidalia Test,uk.org.lidalia.test,SystemOutputRule,0,40,0,0,0,9,0,4,0,4
Lidalia Test,uk.org.lidalia.test,StaticTimeRule.StaticTimeStatement,0,23,0,0,0,9,0,2,0,2
Lidalia Test,uk.org.lidalia.test,FeatureMatcher,0,59,0,2,0,14,0,5,0,4
